Season_team,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,pWAR,PA,AVG,OBP,SLG,wOBA,BsR,Off,Def,WAR,Wins
2016NYY,1428.1,8.777357935,2.798,1.348423976,0.2922094508,0.742,4.164991813,4.196044239,18.66184172,6058,0.252,0.314,0.405,0.3106847022,10.58395062,-49.707,-11.926,14.82071378,84.000
2016NYM,1447,8.682794057,2.730477501,0.9454045106,0.3080346106,0.756,3.582585514,3.565367532,21.50441198,6115,0.246,0.316,0.417,0.3146168068,-8.619,-17.725,36.39472344,21.64411255,87.000
2016MIN,1443,7.428278001,2.987527424,1.378379041,0.3185759927,0.683,5.089399537,4.567915025,10.7197452,6245,0.251,0.316,0.421,0.3169706746,7.804581581,-28.534,-29.735,15.81675372,59.000
2016MIL,1434.1,7.372759625,3.338134571,1.11689465,0.3002124144,0.731,4.097,4.372225846,11.11388791,6061,0.244,0.322,0.407,0.3152030215,5.226136593,-55.196,12.28784993,15.17247104,73.000
2016MIA,1435,8.64878426,3.731708945,0.9533105203,0.303,0.74,4.051569711,3.973051116,15.5449583,6133,0.263,0.322,0.394,0.309,2.379709519,-40.13,40.46141429,19.82677127,79.000
2016LAD,1453,9.353063454,2.874053936,1.02202349,0.2880690738,0.738,3.704060891,3.611814283,19.978958,6164,0.249,0.319,0.409,0.3144882699,2.004633443,-20.161,39.43367755,21.86391079,91.000
2016LAA,1421.1,7.193244625,3.153376605,1.31707296,0.3012790147,0.75,4.280487119,4.619834224,7.986568684,6041,0.26,0.322,0.405,0.3141073584,-16.798,-27.364,-15.875,16.64257898,74.000
2016KCR,1440,8.043748094,3.231249234,1.287499695,0.2983949416,0.754,4.212499002,4.420875173,12.05914602,6052,0.261,0.312,0.4,0.3071691097,-4.304,-83.936,-7.017,11.80133388,81.000
2016HOU,1468,8.559,2.777247422,1.109672811,0.3064947701,0.734,4.064713114,3.852973053,17.60940041,6204,0.247,0.319,0.417,0.3167488212,-5.412,2.821628173,25.40965017,24.51995522,84.000
2016DET,1428,7.764703359,2.911763759,1.147058451,0.2996845426,0.722,4.24159526,4.155673233,18.45816829,6127,0.267,0.331,0.438,0.3299244708,-16.941,27.03508404,-41.48,19.88709746,86.000
2016COL,1429.1,7.70079381,3.444263462,1.139692297,0.3165417057,0.68,4.917677813,4.376514093,13.13487221,6236,0.275,0.336,0.457,0.3387094795,1.113046359,-44.966,52.66009225,20.912,75.000
2016CLE,1445,8.707,2.871281289,1.158477917,0.2893272635,0.734,3.855364681,3.912660155,18.18568408,6155,0.262,0.329,0.43,0.3264241478,15.78417137,14.08331011,13.0420737,24.23599977,94.000
2016CIN,1442,7.745494857,3.969488098,1.61026404,0.2899637243,0.728,4.911929454,5.237,0.9611062128,6094,0.256,0.316,0.408,0.3111736952,-4.329,-89.878,3.117036654,10.7943,68.000
2016CHW,1446.2,7.900921479,3.241244166,1.150921633,0.2980004818,0.74,4.118433086,4.274680493,17.10741146,6131,0.257,0.317,0.41,0.3138715077,-2.486,-27.214,-20.996,16.44798282,78.000
2016CHC,1459.2,8.884906256,3.052067034,1.005024094,0.2551047468,0.775,3.150719706,3.770685086,18.8368942,6335,0.256,0.343,0.429,0.3333257462,17.29244678,61.28784855,89.90712812,35.90710426,103.000
2016BOS,1439.2,8.514466318,3.063207412,1.100254091,0.293,0.729,4.000923967,4.000239287,18.80350361,6320,0.282,0.348,0.461,0.3464988847,10.60098668,109.8582105,-9.177,32.33364236,93.000
2016BAL,1432,7.84357415,3.425278775,1.150139479,0.2991452991,0.738,4.217178088,4.313469172,15.73646323,6089,0.256,0.317,0.443,0.3256295046,2.472511243,22.58588916,-22.077,21.28388141,89.000
2016ATL,1447.2,7.628136706,3.400644481,1.100391359,0.2925041381,0.702,4.50725274,4.319491782,9.020057992,6192,0.255,0.321,0.384,0.3042139188,-6.109,-110.775,34.80108736,12.21366905,68.000
2016ARI,1451.1,8.173174582,3.739320389,1.252641324,0.3197087151,0.687,5.091180828,4.504,10.11231946,6260,0.261,0.32,0.432,0.3213241377,17.71655744,-39.923,3.836702893,16.51240074,69.000
2015WSN,1434.2,8.41867663,2.283456254,0.9096185628,0.3000737282,0.727,3.619654557,3.452837728,22.19,6117,0.251,0.321,0.403,0.3145229696,-2.267,-29.672,9.410520057,17.90588866,83.000
2015TOR,1441,6.976408967,2.479529418,1.080500225,0.2784332232,0.727,3.809856284,4.09335063,13.68345885,6231,0.269,0.34,0.457,0.344,10.97187246,135.8697448,6.550847009,36.72847696,93.000
2015TEX,1442.2,6.831099728,3.169131198,1.066774478,0.294198264,0.724,4.254621018,4.343858714,11.04333543,6187,0.257,0.325,0.413,0.3205619883,21.60019986,4.778720652,-3.027,21.6450013,88.000
2015TBR,1453.1,8.391059696,2.95390072,1.083716197,0.2836155378,0.751,3.740369045,3.913875611,14.68287677,6071,0.252,0.314,0.406,0.3130783453,-13.398,-16.248,2.503301486,19.59778655,80.000
2015STL,1464.2,8.166363576,2.931042457,0.756,0.2971153846,0.794,2.937187201,3.47975381,20.56008575,6139,0.253,0.321,0.394,0.3109734576,0.862889881,-21.245,53.78875004,23.58289125,100.000
2015SFG,1444.1,7.259406141,2.68566871,0.9658437355,0.2825570342,0.745,3.733,3.91458327,8.75387903,6153,0.267,0.326,0.406,0.3182644198,-0.355,25.54533369,62.0223168,29.46917875,84.000
2015SEA,1463,7.892679501,3.020503223,1.113464528,0.2975226298,0.728,4.16472644,4.138383777,9.082441356,6131,0.249,0.311,0.411,0.3127866303,-23.05,-20.742,-15.776,17.38861123,76.000
2015SDP,1440.1,8.704236793,3.224254261,1.068502865,0.3031068452,0.711,4.092803373,3.92994354,9.714753094,6019,0.243,0.3,0.385,0.2980006995,5.032982907,-63.231,31.49134057,16.36629969,74.000
2015PIT,1489.2,8.08368794,2.736853989,0.6645782312,0.3024298184,0.75,3.226225232,3.360496355,19.46566895,6285,0.26,0.323,0.396,0.3127321806,3.500529734,-17.453,49.5791343,24.01733666,98.000
2015PHI,1436.1,7.224644479,3.057785348,1.196797134,0.3156116242,0.711,4.693199233,4.403499875,10.29412139,6053,0.249,0.303,0.382,0.2983104699,-1.906,-100.275,-3.906,8.788608007,63.000
2015OAK,1444.2,7.345,2.952929537,1.071527174,0.2890037594,0.71,4.161512512,4.131061614,13.03463525,6171,0.251,0.312,0.395,0.3078692372,-0.975,-34.144,-60.721,11.33432351,68.000
2015NYY,1457.2,8.458727526,2.926596239,1.123714168,0.3003163787,0.738,4.031787646,3.967810222,18.4168166,6268,0.251,0.323,0.421,0.3229684073,2.979824532,25.25431967,-35.301,20.67360104,87.000
2015NYM,1462.2,8.226756232,2.356654927,0.9352781954,0.2878934625,0.743,3.451914919,3.532187075,19.00692788,6145,0.244,0.312,0.4,0.309186893,6.199430555,-6.853,48.69554045,24.58958297,90.000
2015MIN,1443,6.523906815,2.575882901,1.01663175,0.3000446828,0.728,4.072764006,4.096177659,15.99092501,6017,0.247,0.305,0.399,0.3051294841,-5.488,-80.412,-2.108,12.11061383,83.000
